WP5 Country,Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
070 Afghanistan,Afghanistan,2008,3.72358989715576,7.17833185195923,0.450662314891815,47.8624610900879,0.71811431646347,0.179613098502159,0.881686329841614,0.517637193202972,0.258195489645004,0.612072110176086,-1.96272444725037,-1.66589546203613,,,,,,,
070 Afghanistan,Afghanistan,2009,4.40177822113037,7.34442186355591,0.552308440208435,48.2750778198242,0.678896367549896,0.201415613293648,0.850035429000854,0.583925604820251,0.237092420458794,0.611545205116272,-2.08245062828064,-1.64793789386749,0.286315262317657,,,,,,
070 Afghanistan,Afghanistan,2010,4.75838088989258,7.40080404281616,0.539075195789337,48.673412322998,0.600127220153809,0.135185465216637,0.706766068935394,0.618265450000763,0.275323808193207,0.299357414245605,-2.01570057868958,-1.63009703159332,0.275832712650299,,,,,,
070 Afghanistan,Afghanistan,2011,3.83171916007996,7.4355263710022,0.52110356092453,49.0533828735352,0.49590140581131,0.172411605715752,0.731108546257019,0.611387312412262,0.267174690961838,0.307385712862015,-1.94730472564697,-1.62027525901794,,,,,,,
070 Afghanistan,Afghanistan,2012,3.78293752670288,7.54596042633057,0.520636737346649,49.4157829284668,0.530935049057007,0.243652641773224,0.775619804859161,0.710384726524353,0.26791912317276,0.43544015288353,-1.86836624145508,-1.43426549434662,,,,,,,
070 Afghanistan,Afghanistan,2013,3.57210040092468,7.56333541870117,0.483551859855652,49.7781829833984,0.577955365180969,0.0688261464238167,0.823204100131989,0.620584845542908,0.273328095674515,0.482847273349762,,,,,,,,,
070 Afghanistan,Afghanistan,2014,3.13089561462402,7.57092618942261,0.525568425655365,50.1405830383301,0.508514046669006,0.110630489885807,0.871241986751556,0.531691491603851,0.374860733747482,0.409047514200211,,,,,,,,,
083 Albania,Albania,2007,4.63425159454346,9.01256370544434,0.821371614933014,67.1650772094727,0.528604745864868,-0.0116957845166326,0.874699532985687,0.552677571773529,0.246335029602051,0.300680577754974,-0.0525453090667725,-0.416485548019409,,,,0.243243247270584,0.23199999332428,,
083 Albania,Albania,2009,5.48546981811523,9.13863563537598,0.833046615123749,67.4611129760742,0.525223255157471,-0.161581233143806,0.863665401935577,0.640023767948151,0.279256522655487,,0.0376831814646721,-0.254297316074371,0.111003562808037,,,0.243243247270584,0.23199999332428,,
083 Albania,Albania,2010,5.26893663406372,9.18266296386719,0.733152270317078,67.6162643432617,0.568958401679993,-0.176398426294327,0.726261675357819,0.647908091545105,0.300060242414474,,-0.0396283119916916,-0.240878164768219,0.201117858290672,,,0.243243247270584,0.23199999332428,,
083 Albania,Albania,2011,5.86742162704468,9.22183704376221,0.759433805942535,67.7785034179688,0.487496256828308,-0.209914162755013,0.877002596855164,0.627659320831299,0.256576508283615,,-0.112633042037487,-0.274620741605759,0.0666183084249496,,,0.243243247270584,0.23199999332428,,
083 Albania,Albania,2012,5.51012420654297,9.24457550048828,0.784501791000366,67.9429779052734,0.601512134075165,-0.174809783697128,0.847675204277039,0.606635928153992,0.271393239498138,0.364893704652786,-0.0745058879256248,-0.351115822792053,,,,0.243243247270584,0.23199999332428,,
083 Albania,Albania,2013,4.5506477355957,9.26755905151367,0.759476721286774,68.1074447631836,0.631830275058746,-0.134083673357964,0.862904965877533,0.633608877658844,0.338378578424454,0.338094711303711,,,,,,0.243243247270584,0.23199999332428,,
083 Albania,Albania,2014,4.81376314163208,9.29810333251953,0.625586926937103,68.2719192504883,0.734648406505585,-0.0324868224561214,0.882704436779022,0.684910535812378,0.334542661905289,0.498786389827728,,,,,,0.243243247270584,0.23199999332428,,
084 Algeria,Algeria,2010,5.46356678009033,9.43300914764404,,60.8087463378906,0.592695832252502,-0.230039477348328,0.61803787946701,,,,-1.14471852779388,-0.719718813896179,,,,,0.107644304633141,,0.179286330938339
084 Algeria,Algeria,2011,5.31719446182251,9.44190979003906,0.810234487056732,60.9250602722168,0.529561281204224,-0.205362275242805,0.637981653213501,0.550203382968903,0.254896640777588,,-1.19172608852386,-0.785869896411896,,,,,0.107644304633141,,0.179286330938339
084 Algeria,Algeria,2012,5.60459566116333,9.45552349090576,0.839396893978119,61.037425994873,0.586663484573364,-0.196885317564011,0.690116345882416,0.604023277759552,0.229715660214424,,-1.127525806427,-0.79419082403183,,,,,0.107644304633141,,0.179286330938339
056 Angola,Angola,2011,5.5890007019043,8.86701583862305,0.723094344139099,44.0511741638184,0.58370178937912,0.0497434176504612,0.911320328712463,0.658646523952484,0.361063152551651,0.23238717019558,-0.748180329799652,-1.20279741287231,,,,,,,
056 Angola,Angola,2012,4.3602499961853,8.88637828826904,0.752592861652374,44.4003143310547,0.456028580665588,-0.139791384339333,0.906300485134125,0.557908117771149,0.304890066385269,0.237090691924095,-0.730668842792511,-1.14302694797516,,,,,,,
056 Angola,Angola,2013,3.93710684776306,8.89537715911865,0.721590757369995,44.7494506835938,0.409554868936539,-0.107054837048054,0.816375494003296,0.658283770084381,0.370875000953674,0.547732353210449,,,,,,,,,
